All Items,136,Parameter 6 function,"The function of part 136 varies, depending on the item in which it is contained."
Steering servo items 2R and 2T,136,Parameter 6 function,"The adjustment to the set value at a given gantry angle, as specified in the lookup table"
All Items,137,Process param 7,This is the part that is available for parameter of process item which is saveable in the digital
,,,accelerator database save.
All Items,138,Process param 8,This is the part that is available for parameter of process item which is saveable in the digital
,,,accelerator database save.
All Items,139,Process param 9,This is the part that is available for parameter of process item which is saveable in the digital
,,,accelerator database save.
All Items,140,Deadband,
Motor systems,140,Deadband,Set to prevent oscillation.
Demand items,140,Deadband,Sets the dead region of the potentiometer
All Items,141,Gain 1,"The function of p141 varies, depending on the item in which it is contained."
Motor systems,141,Gain 1,The positional loop gain value
Movement start items,141,Gain 1,The coarse potentiometer gain
All Items,142,Gain 2,"The function of part 142 varies, depending on the item in which it is contained."
Process items,142,Gain 2,"The output or loop gain (for example, calibration of beam error values, phase gain of magnetron tuner system)."
Movement start items,142,Gain 2,The fine potentiometer gain
All Items,143,Coarse potentiometer offset,"For movement start items, part 143 is the offset value for the coarse potentiometer."
All Items,144,Fine potentiometer offset,"For movement start items, part 144 is the offset value for the fine potentiometer."
All Items,151,Register part,"The function of part 151 varies, depending on the item in which it is contained."
All Items,152,Register part,"The function of part 152 varies, depending on the item in which it is contained."
,,,"For example, in i44, part 152 shows the segment dose in 1/64 of an MU: for example, 6400 for 100 MU, and the value of part 152 decrements as the dose is delivered."
All Items,153,Register part,"The function of part 153 varies, depending on the item in which it is contained."
,,,"For example, in control area power supply items part 153 records the address of the last RTU to violate a limit."
All Items,154,Register part,"The function of part 154 varies, depending on the item in which it is contained."
All Items,155,Register part,"The function of part 155 varies, depending on the item in which it is contained."
All Items,156,Register part,"The function of part 156 varies, depending on the item in which it is contained."
,,,"For example, in check potentiometer items, part 156 shows the difference between the coarse and check potentiometers. If the difference is greater than the value in part 133 (normally 250), then an error is flagged."
,,,The value of part 156 is updated when the new value exceeds the old value.
All Items,157,Register part,"The function of part 157 varies, depending on the item in which it is contained."
,,,"For example, in movement start items, part 157 this is the maximum fine potentiometer error."
All Items,158,Register part,"The function of part 158 varies, depending on the item in which it is contained."
All Items,159,Register part,"The function of part 159 varies, depending on the item in which it is contained."
All Items,160,Register part,"In servo items, setting the value of part 160 from 2 to 0 to 3 simulates a reboot (item changes are"
,,,implemented).
All Items,161,Auto/Manual,This part sets the item to Auto or Manual mode where:
,,,The value 0 = Manual mode
,,,The value 1 = Auto mode.
All Items,162,Learn enable,This part is used in three-potentiometer and beam uniformity items to set the item to Learn mode
,,,where:
,,,Value 0 = Learn mode Off
,,,Value 1 = Learn mode On.
All Items,171,Source item 1,This item is used by and controlled by the process block and filter as appropriate.
All Items,172,Source item 2,This item is used by and controlled by the process block and filter as appropriate.
All Items,173,Source item 3,This item is used by and controlled by the process block and filter as appropriate.
All Items,174,Source item 4,This item is used by and controlled by the process block and filter as appropriate.
All Items,175,Output item 1,This item is used by and controlled by the process block and filter as appropriate.
All Items,176,Output item 2,This item is used by and controlled by the process block and filter as appropriate.
All Items,177,Output item 3,This item is used by and controlled by the process block and filter as appropriate.
All Items,178,Output item 4,This item is used by and controlled by the process block and filter as appropriate.
All Items,180,Queue type,The queue or list in which Facility 1 is processing. i255 indicates not in a queue.
All Items,181,Queue pointer,This part is the queue pointer part.
All Items,182,Fast queue depth,This part is the fast queue depth part.
All Items,183,Slow queue depth,This part is the slow queue depth part.
All Items,184,Fast servo queue depth,This part is the fast servo queue depth part.
All Items,185,Slow servo queue depth,This part is the slow servo queue depth part.
All Items,186,Process_Param_10_Part ,"The function of part 186 varies, depending on the item in which it is contained."
All Items,187,Process_Param_11_Part ,"The function of part 187 varies, depending on the item in which it is contained."
All Items,188,Process_Param_12_Part ,"The function of part 188 varies, depending on the item in which it is contained."
All Items,189,Process_Param_13_Part ,"The function of part 189 varies, depending on the item in which it is contained."
All Items,190,Process_Param_14_Part ,"The function of part 190 varies, depending on the item in which it is contained."
All Items,191,Process_Param_15_Part ,"The function of part 191 varies, depending on the item in which it is contained."
All Items,192,Process_Param_16_Part ,"The function of part 192 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 192 shows Minimum permitted number of segments needed for a valid lookup table."
All Items,193,Process_Param_17_Part ,"The function of part 193 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 193 shows Maximum permitted limit for absolute value in the lookup table."
All Items,194,Process_Param_18_Part ,"The function of part 194 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 194 shows Maximum permitted limit for mean value of the lookup table."
All Items,195,Process_Param_19_Part ,"The function of part 195 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 195 shows Maximum permitted limit for mean of absolute values in the lookup table."
All Items,196,Process_Param_20_Part ,"The function of part 196 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 196 controls Tolerance range constraint."
All Items,197,Process_Param_21_Part ,"The function of part 197 varies, depending on the item in which it is contained."
All Items,198,Process_Param_22_Part ,"The function of part 198 varies, depending on the item in which it is contained."
All Items,199,Process_Param_23_Part ,"The function of part 199 varies, depending on the item in which it is contained."
All Items,200,Process_Param_24_Part ,"The function of part 200 varies, depending on the item in which it is contained."
All Items,201,Process_Param_25_Part ,"The function of part 201 varies, depending on the item in which it is contained."
All Items,202,Process_Param_26_Part ,"The function of part 202 varies, depending on the item in which it is contained."
All Items,203,Process_Param_27_Part ,"The function of part 203 varies, depending on the item in which it is contained."
All Items,204,Process_Param_28_Part ,"The function of part 204 varies, depending on the item in which it is contained."
All Items,205,Process_Param_29_Part ,"The function of part 205 varies, depending on the item in which it is contained."
All Items,206,Process_Param_30_Part ,"The function of part 206 varies, depending on the item in which it is contained."
All Items,207,Register_10_Part      ,"The function of part 207 varies, depending on the item in which it is contained."
All Items,208,Register_11_Part      ,"The function of part 208 varies, depending on the item in which it is contained."
All Items,209,Register_12_Part      ,"The function of part 209 varies, depending on the item in which it is contained."
All Items,210,Register_13_Part      ,"The function of part 210 varies, depending on the item in which it is contained."
All Items,211,Register_14_Part      ,"The function of part 211 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 211 shows  Current Backup_Error."
All Items,212,Register_15_Part      ,"The function of part 212 varies, depending on the item in which it is contained."
All Items,213,Register_16_Part      ,"The function of part 213 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 213 Current Correlated_Backup_Error."
All Items,214,Register_17_Part      ,"The function of part 214 varies, depending on the item in which it is contained."
All Items,215,Register_18_Part      ,"The function of part 215 varies, depending on the item in which it is contained."
All Items,216,Register_19_Part      ,"The function of part 216 varies, depending on the item in which it is contained."
All Items,217,Register_20_Part      ,"The function of part 217 varies, depending on the item in which it is contained."
All Items,218,Register_21_Part      ,"The function of part 218 varies, depending on the item in which it is contained."
All Items,219,Register_22_Part      ,"The function of part 219 varies, depending on the item in which it is contained."
All Items,220,Register_23_Part      ,"The function of part 220 varies, depending on the item in which it is contained."
All Items,221,Register_24_Part      ,"The function of part 221 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 221 shows Current Error_In_Fine."
All Items,222,Register_25_Part      ,"The function of part 222 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 222 shows Current Error_In_Fine lookup table value."
All Items,223,Register_26_Part      ,"The function of part 223 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 223 shows Current Backup_Error lookup table value."
All Items,224,Register_27_Part      ,"The function of part 224 varies, depending on the item in which it is contained."
,,,"For example, in triple pot start items, part 224 shows Current Correlated_Backup_Error lookup table value."
All Items,225,Register_28_Part      ,"The function of part 225 varies, depending on the item in which it is contained."
All Items,226,Register_29_Part      ,"The function of part 226 varies, depending on the item in which it is contained."
All Items,227,Register_30_Part      ,"The function of part 227 varies, depending on the item in which it is contained."
