,Item,Part,R/W,Category,Description,Data Type,Units,Min Value,Max Value
93,2010,177,R,Reference Reflector-01,Number of white pixels found in search rectangle when searching vertically.,unsigned 16-bit integer,pixel,0.0,65535.0
94,2010,178,R,Reference Reflector-01,X co-ordinate of centre of reference reflector.,signed 16-bit integer,pixel/10,0.0,7679.0
95,2010,182,R,Reference Reflector-01,Y co-ordinate of centre of reference reflector.,signed 16-bit integer,pixel/10,0.0,7679.0
96,2010,192,R,Reference Reflector-01,Reference reflector width.,unsigned 16-bit integer,pixel,0.0,65535.0
97,2010,193,R,Reference Reflector-01,Reference reflector height.,unsigned 16-bit integer,pixel,0.0,65535.0
98,2010,200,RW,Reference Reflector-01,Count of the number of times the reference reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
99,2011,109,RW,Reference Reflector-01,Calibrated X co-ordinate of the centre of the reference reflector.,unsigned 16-bit integer,pixel/10,0.0,7680.0
100,2011,110,RW,Reference Reflector-01,Calibrated Y co-ordinate of the centre of the reference reflector.,unsigned 16-bit integer,pixel/10,0.0,5760.0
101,2011,111,R,Reference Reflector-01,Calibrated number of pixels in the reference reflector.,unsigned 8-bit integer,pixel,0.0,255.0
102,2011,172,RW,Reference Reflector-01,Width of reference reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
103,2011,173,RW,Reference Reflector-01,Height of reference reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
104,2011,176,R,Reference Reflector-01,Number of white pixels found in search rectangle when searching horizontally.,unsigned 16-bit integer,pixel,0.0,65535.0
105,2011,177,R,Reference Reflector-01,Number of white pixels found in search rectangle when searching vertically.,unsigned 16-bit integer,pixel,0.0,65535.0
106,2011,178,R,Reference Reflector-01,X co-ordinate of centre of reference reflector.,signed 16-bit integer,pixel/10,0.0,7679.0
107,2011,182,R,Reference Reflector-01,Y co-ordinate of centre of reference reflector.,signed 16-bit integer,pixel/10,0.0,7679.0
108,2011,192,R,Reference Reflector-01,Reference reflector width.,unsigned 16-bit integer,pixel,0.0,65535.0
109,2011,193,R,Reference Reflector-01,Reference reflector height.,unsigned 16-bit integer,pixel,0.0,65535.0
110,2011,200,RW,Reference Reflector-01,Count of the number of times the reference reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
111,2012,109,RW,Reference Reflector-01,Calibrated X co-ordinate of the centre of the reference reflector.,unsigned 16-bit integer,pixel/10,0.0,7680.0
112,2012,110,RW,Reference Reflector-01,Calibrated Y co-ordinate of the centre of the reference reflector.,unsigned 16-bit integer,pixel/10,0.0,5760.0
113,2012,111,R,Reference Reflector-01,Calibrated number of pixels in the reference reflector.,unsigned 8-bit integer,pixel,0.0,255.0
114,2012,172,RW,Reference Reflector-01,Width of reference reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
115,2012,173,RW,Reference Reflector-01,Height of reference reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
116,2012,176,R,Reference Reflector-01,Number of white pixels found in search rectangle when searching horizontally.,unsigned 16-bit integer,pixel,0.0,65535.0
117,2012,177,R,Reference Reflector-01,Number of white pixels found in search rectangle when searching vertically.,unsigned 16-bit integer,pixel,0.0,65535.0
118,2012,178,R,Reference Reflector-01,X co-ordinate of centre of reference reflector.,signed 16-bit integer,pixel/10,0.0,7679.0
119,2012,182,R,Reference Reflector-01,Y co-ordinate of centre of reference reflector.,signed 16-bit integer,pixel/10,0.0,7679.0
120,2012,192,R,Reference Reflector-01,Reference reflector width.,unsigned 16-bit integer,pixel,0.0,65535.0
121,2012,193,R,Reference Reflector-01,Reference reflector height.,unsigned 16-bit integer,pixel,0.0,65535.0
122,2012,200,RW,Reference Reflector-01,Count of the number of times the reference reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
123,2013,109,RW,Reference Reflector-01,Calibrated X co-ordinate of the centre of the reference reflector.,unsigned 16-bit integer,pixel/10,0.0,7680.0
124,2013,110,RW,Reference Reflector-01,Calibrated Y co-ordinate of the centre of the reference reflector.,unsigned 16-bit integer,pixel/10,0.0,5760.0
125,2013,111,R,Reference Reflector-01,Calibrated number of pixels in the reference reflector.,unsigned 8-bit integer,pixel,0.0,255.0
126,2013,172,RW,Reference Reflector-01,Width of reference reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
127,2013,173,RW,Reference Reflector-01,Height of reference reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
128,2013,176,R,Reference Reflector-01,Number of white pixels found in search rectangle when searching horizontally.,unsigned 16-bit integer,pixel,0.0,65535.0
129,2013,177,R,Reference Reflector-01,Number of white pixels found in search rectangle when searching vertically.,unsigned 16-bit integer,pixel,0.0,65535.0
130,2013,178,R,Reference Reflector-01,X co-ordinate of centre of reference reflector.,signed 16-bit integer,pixel/10,0.0,7679.0
131,2013,182,R,Reference Reflector-01,Y co-ordinate of centre of reference reflector.,signed 16-bit integer,pixel/10,0.0,7679.0
132,2013,192,R,Reference Reflector-01,Reference reflector width.,unsigned 16-bit integer,pixel,0.0,65535.0
133,2013,193,R,Reference Reflector-01,Reference reflector height.,unsigned 16-bit integer,pixel,0.0,65535.0
134,2013,200,RW,Reference Reflector-01,Count of the number of times the reference reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
135,2014,120,R,Gantry Control,Static tolerance.,signed 16-bit integer,degree/100,0.0,0.0
136,2014,225,R,Gantry Control,Steady-state dynamic tolerance.,signed 16-bit integer,degree/100,0.0,0.0
137,2014,231,RW,Gantry Control,Maximum permitted gantry velocity.,unsigned 16-bit integer,10ths degrees-1,0.0,65535.0
138,2014,233,,Gantry Control,NDR start trans toll,,,,
139,2014,234,,Gantry Control,NDR trans toll offset,,,,
140,2014,235,,Gantry Control,NDR trans toll gain,,,,
141,2014,236,,Gantry Control,NDR trans toll gradient,,,,
142,2014,237,,Gantry Control,NDR trans toll time,,,,
143,2014,238,,Gantry Control,NDR max inst,,,,
144,2014,239,,Gantry Control,LDR start trans toll,,,,
145,2014,240,,Gantry Control,LDR trans toll offset,,,,
146,2014,241,,Gantry Control,LDR trans toll gain,,,,
147,2014,242,,Gantry Control,LDR trans toll gradient,,,,
148,2014,243,,Gantry Control,LDR trans toll time,,,,
149,2014,244,,Gantry Control,LDR max inst,,,,
150,2014,232,RW,Gantry Control,Inertia-Compensation-Distance. The distance that must be moved before the system has overcome any inertia.,unsigned 16-bit integer,degree/10,0.0,65535.0
151,2014,424,,Peak dynamic tolerance,,,,,
152,2015,120,R,Collimiator Control,Static tolerance.,signed 16-bit integer,degree/100,0.0,0.0
153,2015,225,R,Collimiator Control,Steady-state dynamic tolerance.,signed 16-bit integer,degree/100,0.0,0.0
154,2015,231,RW,Collimiator Control,Maximum permitted collimator rotation velocity.,unsigned 16-bit integer,10ths degrees-1,0.0,65535.0
155,2015,232,RW,Collimiator Control,Inertia-Compensation-Distance. The distance that must be moved before the system has overcome any inertia.,unsigned 16-bit integer,degree/10,0.0,65535.0
156,2015,233,,Collimiator Control,NDR start trans toll,,,,
157,2015,234,,Collimiator Control,NDR trans toll offset,,,,
158,2015,235,,Collimiator Control,NDR trans toll gain,,,,
159,2015,236,,Collimiator Control,NDR trans toll gradient,,,,
160,2015,237,,Collimiator Control,NDR trans toll time,,,,
161,2015,238,,Collimiator Control,NDR max inst,,,,
162,2015,239,,Collimiator Control,LDR start trans toll,,,,
163,2015,240,,Collimiator Control,LDR trans toll offset,,,,
164,2015,241,,Collimiator Control,LDR trans toll gain,,,,
165,2015,242,,Collimiator Control,LDR trans toll gradient,,,,
166,2015,243,,Collimiator Control,LDR trans toll time,,,,
167,2015,244,,Collimiator Control,LDR max inst,,,,
168,2015,424,,Peak dynamic tolerance,,,,,
169,2020,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
170,2020,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
171,2021,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
172,2021,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
173,2022,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
174,2022,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
175,2023,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
176,2023,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
177,2024,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
178,2024,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
179,2025,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
180,2025,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
181,2026,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
182,2026,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
183,2027,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
184,2027,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
185,2028,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
186,2028,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
187,2029,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
188,2029,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
189,2030,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
190,2030,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
191,2031,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
192,2031,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
193,2032,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
194,2032,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
195,2033,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
196,2033,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
197,2034,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
198,2034,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
199,2035,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
200,2035,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
201,2036,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
202,2036,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
203,2037,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
204,2037,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
205,2038,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
206,2038,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
207,2039,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
208,2039,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
209,2040,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
210,2040,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
211,2041,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
212,2041,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
213,2042,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
214,2042,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
215,2043,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
216,2043,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
217,2044,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
218,2044,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
219,2045,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
220,2045,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
221,2046,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
222,2046,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
223,2047,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
224,2047,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
225,2048,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
226,2048,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
227,2049,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
228,2049,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
229,2050,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
230,2050,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
231,2051,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
232,2051,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
233,2052,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
234,2052,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
235,2053,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
236,2053,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
237,2054,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
238,2054,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
239,2055,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
240,2055,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
241,2056,110,RW,Leaf Pair-01,The video line along which the Reflector search is performed and the Leaf video overlays are drawn.,unsigned 16-bit integer,video line,1.0,512.0
242,2056,182,R,Leaf Pair-01,Reports actual video line being used for reflector search. Lines used will vary as system compensations for “Video Line Shift” VLS).,unsigned 16-bit integer,video line,1.0,512.0
