,Urgentie,Type,Machine,User,Storingsinfo,Status,Meldtijd,Lev.
,Acuut,,Linac2,WOD,"Grote storing, linac ontregeld nadat geconstateerd was dat MV isoc niet meer genoeg op mechanisch isoc lag. Waarschijnlijk ontstaan door het vervangen van bending magnets in 2023, daarna bending coarse/fine niet goed aangepast.",-,26/11/2024,0
,Acuut,versnellerkop,Linac2,bem,"Inhibbits: Leave missing, MLC not ready. Op iedere leavebank een aantal leaves die niet meer bewegen.",leave motors en leave nuts die vast zaten vervangen In onderzoek.,22/11/2024,0
,Acuut,,Linac1,WOD,(nog steeds) leaves missing. Als aan de stekker van de MLC camera kabel gezeten wordt valt het camera beeld weg.,-,22/11/2024,0
,Acuut,versnellerkop,Linac4,aub,Leaf nut afgebroken en zat enorm vast. Uiteindelijk in totaal 3 spindles/nuts vervangen die ook moeilijker liepen.,-,20/11/2024,0
,Acuut,,Linac1,aub,"Tafelstoring, bewegingen niet meer mogelijk.",-,20/11/2024,0
,Acuut,,Linac4,WOD,Ineens alle leaves kwijt tijdens klinisch gebruik. Leaves staan wel in de bundel en de UV lamp werkt.,-,14/11/2024,0
,NietAcuut,,Linac4,KSS,"Uniformity, linac stopte ermee. Reset en door. BBC was erbij",-,11/11/2024,0
,Acuut,,Linac3,WOD,Water Temp suspend bij opstarten linac. Klep werd niet geregeld.,-,11/11/2024,0
,Acuut,,Linac1,WOD,Tijdens ochtendcontrole gaf linac foutmelding `wedge code error`. Ook kwam er een ratelend geluid uit de kop. Na onderzoek en bellen met Elekta is de wedge PCB vervangen en de potmeters op de PCB goed ingesteld. Dit loste het probleem op.,-,08/11/2024,0
,NietAcuut,,Linac1,WOD,Volgens laboranten geeft de linac vaak leaves not ready en lost reflector. Met MLC resets en velden wisselen komen ze wel verder maar niet wenselijk. Graag tijdens groot onderhoud Elekta (morgen en donderdag) naar kijken.,-,29/10/2024,0
,NietAcuut,,Linac4,WOD,"Gantry maakt een `krakend` geluid bij draaien. Vooral clockwise, tussen 0 en 90 graden. Lijkt bij de pancake motoren vandaan te komen. Onderzoeken wanneer L4 onderhoud heeft",-,28/10/2024,0
,NietAcuut,,Linac4,BBC,KV enable dropped,-,23/10/2024,0
,Acuut,,Linac2,erik,Linac 2 spontaan CON A eruit. Niets kunnen vinden en na reset deed hij het weer. Weet niet of het er vaker staat maar er stond iets van een kortsluiting voor de LED in de log.,-,23/10/2024,0
,NietAcuut,,Linac4,BBC,CBCT breekt spontaan af na ca 20graden gedraaid te hebben,-,23/10/2024,0
,NietAcuut,,Linac4,BBC,"CBCT / XVI ""Scan Terminated"" bij pat 2000450236 Kon herstart worden door CBCT-veld opnieuw te laden in MQ",-,21/10/2024,0
,NietAcuut,Versneller,Linac3,KSS,Storing met: Versneller,-,18/10/2024,0
,,,,,Output 6MV .980 Nog precies op de tolerantie,,,
,Acuut,,Linac1,CLO,voltage monitor voor bending buiten tolerantie,-,11/10/2024,0
,Acuut,,Linac4,CLO,Leaf Y1-19 stuk,-,10/10/2024,0
,Acuut,,Linac4,,"MLC link, gebeurt tijdens opzetten elektronen",-,10/10/2024,0
,Acuut,,Linac4,,"leaf Y1-8 l kon niet bewegen bij gantry hoek van -90 graden, maar wel bij 0 graden",-,07/10/2024,0
,Acuut,versnellerkop,Linac4,bem,Ma 7 oktober is geconstateerd dan na het uitvoeren van de MLC calibratie (do 3okt) het veld verschoven is. Om dit issue op te lossen en de oorzaak te vinden is het systeem 2-3 dagen buiten gebruikt geweest,-,07/10/2024,0
,NietAcuut,Versneller,Linac1,HDV,Storing met: Versneller,-,04/10/2024,0
,,,,,"reset required: gas press, daarna low water pressure. Chris is geweest",,,
,Acuut,,Linac4,erik,"Kijken naar de artefacten in het XVI beeld met Gertjan Schoo. Uitlijning is aangepast door Gertjan, maar de artefacten zijn gebleven.","kv buis beter op het paneel gericht, maar artifacts niet opgelost",01/10/2024,0
,Acuut,,Linac2,erik,Kijken of de gantry wat zwaarder loopt dan normaal. ivm verspringen van tafel column rotatie tijdens gantry draaien. (kijken of the jockywheels aanlopen meer dan 2 meedraaien is veel.),-,01/10/2024,0
,Acuut,,Linac3,erik,leaves fan Y1 graag vervangen loopt traag/vast,-,01/10/2024,0
,Acuut,,Linac4,WOD,Linac raakte steeds de MLC reference reflectors kwijt. UV lamp stond te fel afgesteld. Na bijstellen MLC calibratie gedaan. Tussendoor ook nog DLG remmen vervangen voor nieuwe stervariant want hij wou niet door de MLC calibratie. Binnenkort worden rubies vervangen door Elekta zodat de UV lamp makkelijker af te stellen is.,-,24/09/2024,0
,NietAcuut,,Linac2,BBC,La musica? Het geluid van de stereo komt niet door in de bunker.,mogelijk kan de stereo niet tegen als 1 speaker niet aangesloten is,16/09/2024,0
,NietAcuut,XVI,Linac4,TJJ,Storing met: XVI,-,11/09/2024,0
,,,,,Automated linac asu,,,
,NietAcuut,,Linac1,glv,Melding van Bram: wanneer tafelbediening A kant wordt gebruikt stottert de tafel erg. B-zijde en handheldcontrolers hebben er geen last van.,12-09: niet te reproduceren door BEM en WOD. Potmeterwaarde van thumbwheels zijn ook OK...,11/09/2024,0
,Preventief,,Linac4,WOD,Gemeld door laboranten: tafel piept bij longitudinale beweging,-,05/09/2024,0
,NietAcuut,Versneller,Linac1,HEM,Storing met: Versneller,-,05/09/2024,0
,,,,,"na vervanging camera, doet hij het nog steeds af en toe niet en spring het beeld op zwart",,,
,Acuut,,Linac4,bem,Leaf stuck. Spindle met nut vervangen,-,30/08/2024,0
,Acuut,,Linac4,bem,Leaf stuck. Spindle met nut vervangen,-,30/08/2024,0
,In Pauze,,Linac1,WOD,Bij draaien van de gantry is af een toe een tikje te horen in de boot. Klinkt volgens laboranten (en patienten) als een los schroefje oid.,-,23/08/2024,0
,Preventief,,Linac4,WOD,"Volgens SF6 Excel is er veel meer lek dan 5% per jaar. Op 1 augustus SF6 sniffer gebruikt, geen lek bij usual suspects in het linac circuit gevonden. Wel bij het kraantje naast de drukreduceer! Vacuum daalt ook snel tijdens stralen, vooral bij 6 MV. Misschien window lek?",Lek bij kraantje gasfles opgelost. SF6 druk lijkt nu redelijk stabiel. Nog even aankijken,22/08/2024,0
,Preventief,versnellerkop,Linac4,erik,Linac 4 heeft issues met de ruby intensiteit. Er zijn een paar leaves waarvan de ruby niet genoeg licht terug geeft. Ook zijn er een paar die bijna te veel licht terug geven. Hierdoor kan er bijna geen optimale uv licht setting gevonden worden. Het beste is om de laagpresterende ruby te vervangen door nieuwe.,"Licht wat verhoogt, maar misschien poetsen beter - clo Gisteren juist weer verlaagd want dat was niet de oplossing - evb. Gertjan heeft een paar rubies vervangen, maar het probleem is niet opgelost. -evb",22/08/2024,0
,NietAcuut,Versneller,Linac1,JEK,hump error,"Linac 1 bundelsturing moet getuned worden - ? De hump error is 0 bij 6MV, dus wat moet er getuned worden - CLO. Misschien een opstart verschijnsel of zo iets. - evb",20/08/2024,0
,Acuut,Versneller,Linac2,CLO,MVkV buiten tolerantie en machine komt niet door MLC kalibratie,Is dit inmiddels niet opgelost? Elekta wou graag dat we nog eens naar 1R 1T kijken en ook het draadkruis nog eens controleren en dit updaten in de case.,19/08/2024,0
,,versnellerkop,,,,,,
,Acuut,,Linac1,CLO,Mosaiq hikte,-,16/08/2024,0
,Acuut,,Linac2,CLO,Mosaiq hikte,-,16/08/2024,0
,Acuut,,Linac4,CLO,Mosaiq hikte,-,16/08/2024,0
,Preventief,,Linac2,WOD,"DLG rem vervangen voor een nieuwe (met stervormige as) lukt niet, want de stelschroeven van de huidige as zijn doorgedraaid. Deze moeten uitgeboord worden, maar hiervoor moet de kop gesplitst worden anders kan je er niet bij. Nu geen tijd voor, dus gereviseerde oude rem teruggezet",-,12/08/2024,0
,Acuut,,Linac1,CLO,beam timer bij plan met veel modulatie,-,09/08/2024,0
,Acuut,Tafel,Linac2,EVB,Tafel wil niet op of neer. Verdacht op koolborstel probleem.,-,07/08/2024,0
,Acuut,Overig,Linac3,EVB,BMDM backup battery leeg. System down,-,07/08/2024,0
,Acuut,,Linac4,WOD,Leaf Y2-8 vastgelopen.,-,06/08/2024,0
,Acuut,,Linac2,CLO,UPS stoort,-,05/08/2024,0
,Acuut,,Linac4,CLO,BMDM stoort,-,05/08/2024,0
,NietAcuut,Versneller,Linac1,TJJ,Storing met: Versneller,Linac 1 bundelsturing moet getuned worden,01/08/2024,0
,,,,,2T err; reset req.,,,
,NietAcuut,,Linac1,WOD,Bundel 2x afgeslagen bij 1 patient ivm hump error. Bij volgend onderhoud/waterbak wegregelen,-,29/07/2024,0
,Acuut,,GK,CLO,"Mosaiq gaf problemen met de de getal notatie of datum formaat. Gechecked, maar lijkt goed te staan",-,22/07/2024,0
,Acuut,,Linac2,CLO,PRF enable check,ICCA ROC B vervangen Beam Dose MU Monitor gerest Mogelijk iets mis met realtime,09/07/2024,0
,Acuut,Versneller,Linac2,bem,"Intermittent PRF EN Chk inhibit DIe board, PPG board vervangen. Deze losten het probleem niet op. Alle 6 de ROC kaarten losgehaal en teruggeplaatst. De twee ROC kaarten per rek ook verwisseld van positie. Dit loste probleem niet op. Op alle ROC kaarten ook de D40 led status gechecked. Deze waren nergens actief. Daarna test BICCA kabel buitenom aangesloten. Dit leek het probleem op te lossen. Storing kwam niet terug. BICCA kabel vervangen. Fout kwam alsnog terug. Cont. in oploss",-,28/06/2024,0
,NietAcuut,Versneller,Linac4,HEM,Storing met: Versneller,-,27/06/2024,0
,,,,,"bij het bedienen van de tafel lateraal, via de tafelconsole, schiet de tafel telkens na 5 cm in de vaste stand. Dan moet ik het ""joystickje even los laten, opnieuw activeren, dan gaat hij weer 5 cm enz..",,,
,Preventief,,Linac2,glv,"Bij Elekta onderhoud (Jeroen) zijn er 7 leafs waarbij backlash is geconstateerd. Y1: 18, 19, 44 en 52 Y2: 16, 40, 60 Oplossing is om de leafkey, -spindel en -motor te vervangen. Bij volgend onderhoud van Elekta op de L2 wordt de test herhaald, om te kijken of hij er dan wel door komt.",-,26/06/2024,0
,NietAcuut,,CT-SIM,MAL,Bestraling wilde niet starten patiÃ«nt afgesloten en weer geopend nu deed hij het wel.,-,24/06/2024,0
,NietAcuut,Versneller,Linac1,MAL,"hump herror bij een Vmat bundel, vanochtend ookal.",-,24/06/2024,0
,Acuut,LCS,Linac1,bem,"LCS start niet op. Bolletje worden rood, maar daarna gebeurd er niets meer.",-,24/06/2024,0
,Acuut,,Linac3,,HT crowbar inhibit na opstarten linac -> stralen niet mogelijk. Na troubleshooting uiteindelijk HTC PCB vervangen.,-,17/06/2024,0
,Acuut,,Linac4,CLO,Table clutch na lat beweging,-,10/06/2024,0
,In Pauze,,Linac2,bem,Groene lampje stoplicht stuk. Na melding tussen patienten door direct vervangen,-,30/05/2024,0
,Acuut,Overig,Linac2,HED,Lampje van het groene stoplicht is kapot.,-,30/05/2024,0
,Preventief,Overig,Linac4,glv,"Ik zie een kleine draaing tussen de lasers en het draadkruis. In het isocentrum vallen de twee, binnen tolerantie, over elkaar. Bij tafelverplaatsing in long en lat wordt de afwijking tussen lasers en kruis op veldgrote plank (dat is uitgelijnd met draadkruis) iets groter.",-,22/05/2024,0
,Acuut,,Linac1,bem,Probleem: Bij opstarten Linac `2R Err` melding tijdens starten van 6 MV FFF phontonen bundel. In service mode kwam de error af en toe voor. Als de error niet opkwam begon de 2R error bij ongeveer 4.5% en regelde daarna naar 0%. De initiele `2R I ctrl` waarde was -66 deze regelde daarna naar -124.,-,22/05/2024,0
,Acuut,XVI,Linac2,glv,XVI paneel wil niet meer bewegen,-,20/05/2024,0
,Acuut,,Linac3,bem,Tijdens behandelen van patient met eletronen bundel kwam de melding `fltr. parit` op. De patient is van tafel gehaald en behandeld op L4. In service mode kon deze melding niet gereproduceerd worden. De melding die dag verder niet meer gezien. 20/5 GLV Inhibits voorafgaand aan D4meting 6FFF: - Fltr.parit - Filter mon Andere patient voorgezet en gestraald (zz_d4 6fff) en dat ging wel. Daarna de oorspronkelijke patient ook geen probleem.,-,15/05/2024,0
,Acuut,,Linac4,bem,MLC not ready - key broken. This is the 3th (working) day in a row that the L4 was down because of a broken key.,-,07/05/2024,0
,Acuut,,Linac4,CLO,leaf nutje gebroken,-,06/05/2024,0
,Acuut,,Linac1,bem,Tijdens opstarten systeem wort `bolletje` `LCD dose monitor` rood. Systeem start niet verder op. BMDM kastje (dose monitor met knopje) vervangen. Dit loste het probleem op.,-,06/05/2024,0
,Acuut,,Linac4,CLO,mosaiq on share niet vinden,-,06/05/2024,0
,Acuut,Mosaiq,Linac4,hem,Storing Mosaiq: geen verbinding met server: Herstarten werkstation,-,06/05/2024,0
,Acuut,Versneller,Linac3,bem,"Message on screenL `M. Fil Imon` inhibit. We checked: parameter 213 - Mag. I monitor was 0A, Mag V monitor was 13V. This could potentialy be caused by a broken filament. We measeure the filament resistance including the cabling (resistance) with a multimeter from the PSU. We measured 77 ohm. This seemed a lot. A direct measurement without the cable gave a value of 7 ohm. This made us suspicies to the cabling/connector. When inspecting the connectors the blue connector going to the gun/magnetron filament filter unit. Was burned. problem started 20240506 7:30 and was resolved at 20240507 13:00",-,06/05/2024,0
,Acuut,,Linac3,bem,"Message on screenL `M. Fil Imon` inhibit. We checked: parameter 213 - Mag. I monitor was 0A, Mag V monitor was 13V. This could potentialy be caused by a broken filament. We measeure the filament resistance including the cabling (resistance) with a multimeter from the PSU. We measured 77 ohm. This seemed a lot. A direct measurement without the cable gave a value of 7 ohm. This made us suspicies to the cabling/connector. When inspecting the connectors the blue connector going to the gun/magnetron filament filter unit. Was burned. problem started 20240506 7:30 and was resolved at 20240507 13:00",-,06/05/2024,0
,Acuut,,Linac4,WOD,Twee tegenovergestelde leaves tegen elkaar gebotst. Twee leaf motor spindels vervangen. Y1-66 en Y2-66.,-,03/05/2024,0
,Acuut,,Linac2,bem,"Melding: ""Integrity Channel 1 connection unavailable"" op Linac schermen in behandelruimte. NRT pc uitgezet en opnieuw opgestart. Ondertussen onstond er ook een probleem bij de L4. Dat probleem eerst opgelost omdat patienten van L2 (waar bovenenstaande issue ondstond) -> L3 waren gegaan.",-,03/05/2024,0
,Acuut,,Linac4,bem,Gantry demand melding. Geen beweging van Gantry. Probleem onstond tijdens rotatie gantry. HHC controller vervangen door andere loste het probleem op. defecte HHC terugplaatsen gaf hethelfde probleem. iview HHC vergangen door een nieuwe.,-,03/05/2024,0
,Acuut,,Linac1,WOD,Gebeld door laborant met de melding dat er rook uit het bedienkastje van de tafel kwam. EIM uitgezet en na inspectie bleek de metalen rotatie eindstop van het bedienkastje afgebroken. Deze kwam daardoor los en heeft kortsluiting veroorzaakt. Na inspectie van het eindstop plaatje bleken de bevestigingspunten niet volledig doorgelast. Lijkt dus een productiefout.,-,18/04/2024,0
,NietAcuut,Versneller,Linac2,HDV,Storing met: Versneller,-,05/04/2024,0
,,,,,Bij aanhangen elektronentubus veel lawaai vanuit gantrykop. Niet te reproduceren. (Chris is even komen kijken),,,
,NietAcuut,XVI,Linac4,HED,Storing met: XVI,-,05/04/2024,0
,,,,,Knopjes van het XVI paneel gaan moeilijk aan en uit.,,,
,NietAcuut,XVI,Linac4,HED,"XVI liep vast, computer opnieuw opgestart. pt. weer op tafel, xvi gaf melding kv tube warm up requierd. 5min ervoor nog een pt geholpen. Dus zou niet mogelijk moeten zijn.",-,04/04/2024,0
,Acuut,Versneller,Linac3,CLO,"Leafs buitbeeld bij opstarten, case bij elekta 03531244","Mogleijk wordt de linac niet goed afgesloten als er een error is met de MLC, zie case elekta 03531244 Is dit nogsteeds een issue of is dit imiddels verdwenen?",25/03/2024,0
,Acuut,,Linac4,WOD,"HME board kapot, geen gantry rotatie meer. Nieuw bord met spoed besteld en aan het einde van de dag ingebouwd.",-,15/03/2024,0
,Acuut,,Linac4,CLO,Namer problemen,-,07/03/2024,0
,Acuut,,Linac2,CLO,Namer problemen,-,07/03/2024,0
,Acuut,,Linac1,CLO,Namer problemen,-,07/03/2024,0
,Acuut,,Linac4,CLO,Tafel/EIM/Touchgaurd problemen,-,07/03/2024,0
,Acuut,,Linac4,erik,Reference leafs lost,-,06/03/2024,0
,Acuut,Overig,Linac4,hem,error verifying fractional dose for RX site ANU03,-,04/03/2024,0
,NietAcuut,Versneller,Linac4,HDV,Storing met: Versneller,-,29/02/2024,0
,,,,,"touchguard/table clutch + reset required tijdens stralen, na bewegen touchguard CB melding weg.",,,
,NietAcuut,,Linac4,BBC,Tijdens maken CBCT kleine hapering in draaiing. Vandaag en gisteren 3x voorgekomen. 12:21u laatste keer voorgekomen.,-,06/02/2024,0
,Acuut,,Linac1,WOD,"ACB board storing, geen bewegingen van XVI paneel. ACB board vervangen.",-,30/01/2024,0
,Acuut,XVI,Linac1,glenn,XVI paneel wil niet meer uitschuiven. XVI HHC reageert nergens meer op. Ook handmatig kan hij maar 5cm worden uitgetrokken en dan komt hij tegen een harde stop.,-,24/01/2024,0
,NietAcuut,Versneller,Linac2,HIZ,Storing met: Versneller,-,22/01/2024,0
,,,,,"Tijdens v mat veld leaves nog ready, downtime 1 uur en 5 min",,,
,Acuut,,Linac4,WOD,Thyratron kapot gagaan op vrijdag. Volgende maandag geleverd en ingebouwd.,-,19/01/2024,0
,Acuut,Versneller,Linac4,WOD,"GTO O/L inhibits tijdens het stralen en bliksem geluiden uit de HT area. Programma verplaatst naar de L3. `s Middags in overleg met Elekta verschillende tests gedaan: - inspecteren van de OPTO 8 optische kabel (kwam licht uit, dus OK) - vervangen van de PPG board Na een tijdje stralen weer GTO O/L inhibits. Na overleg met Elekta besloten om maandag 22-01-2024 de thyratron te vervangen. Eerder niet mogelijk ivm onderbezetting Elekta service engineers",-,19/01/2024,0
,Acuut,,Linac2,WOD,XVI paneel kabelbreuk. Volgende dag kabelboom vervangen door Elekta,-,15/01/2024,0
,NietAcuut,Versneller,Linac2,HDV,vandaag 3x leafs not ready x2 (waarvan 1x tijdens stralen bundel + PRF check),-,06/01/2024,0
,NietAcuut,Versneller,Linac1,PDB,Storing met: Versneller,-,14/12/2023,0
,,,,,"Vandaag 4 x de melding leaves X2 not ready, handmatig onderbrekeing van de bestraling gedaan, interrupt, en gewacht totdat de leaves goed staan. Bij drie patienten, waarvan 2 patienten met FFF.",,,
,NietAcuut,Versneller,Linac4,INB,Gantry demand + reset required bij opstarten van versneller.,-,30/11/2023,0
,Preventief,,CT-SIM,GEE,Pedestal blijft lang hangen voordat hij eruit is. probleem speelt al lang maar blijft nu wel heel lang hangen voordat er gestart kan worden.,-,22/11/2023,0
,Acuut,,Linac4,CLO,MMPC was ingelogd als CCPADMIN,-,17/11/2023,0
,NietAcuut,Versneller,Linac1,PDB,Storing met: Versneller,-,03/11/2023,0
,,,,,star error Voor de start van het veld. Veld afgesloten. Reset gegeven en opnieuw voor gezet.,,,
,Acuut,,Linac1,WOD,"Geen longitudinale tafelbeweging meer, potmeters vervangen.",-,27/10/2023,0
,NietAcuut,,Linac1,SLE,Iets van een LP p poshion?? error voor die tijd bleef het veld ook een beetje hangen,-,18/10/2023,0
,NietAcuut,Versneller,Linac2,NIE,Storing met: Versneller,-,17/10/2023,0
,,,,,"2R error in beeld, reset moeten geven",,,
,NietAcuut,Versneller,Linac1,HEM,"Storing met: Versneller, Overig",-,13/10/2023,0
,,Overig,,,analoge uitlezing 270 graden rotatie op vloer = 271 digitaal -> Graag kalibreren,,,
