Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
i14 - Lasers button set,Laser req,This item shows the state of the <LASERS> button on the HHC.,Boolean,0 Not set 1 Set,Integer,None,HHC,Power Supplies and Interlocks [Ref: 5]  Movements [Ref: 6],Ref 14: 4513 330 7038 - sheet 3
i15 - Distance meter button set,D/mtr req,This item shows the state of the <DISTANCE METER> button on the HHC.,Boolean,0 Not set 1 Set,Integer,None,HHC,Movements [Ref: 6],Ref 14: 4513 330 7038 - sheet 2
i16 - Field defining button set,F/lmp req,This item shows the state of the <FIELD DEFINING> button on the HHC.,Boolean,0 Not set 1 Set,Integer,None,HHC,Movements [Ref: 6]   Accessories [Ref: 11],Ref 14: 4513 330 7038 - sheet 1
i17 - Center field button set,Cntr field,This item shows the state of the <CENTER FIELD> button on the HHC.,Boolean,0 Not set 1 Set,Integer,None,HHC,Movements [Ref: 6],"Ref 14: 4513 330 7035 - sheet 1, 2"
i18 - Touchguard override monitor,T/G O/ride,This item shows the state of the <TOUCHGUARD OVERRIDE> key on the HHCs.,Boolean,0 Not set 1 Set,Integer,None,HHC,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7053 - sheet 2
i19 - Next handheld controller item,Next Func,This item shows the state of the <FUNCTION NEXT> button on the HHC.,Boolean,0 No operation 1 Select next function,Integer,None,HHC,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
i20 - Previous hand held controller item,Prev Func,This item shows the state of the <FUNCTION PREVIOUS> button on the HHC.,Boolean,0 No operation 1 Select next function,Integer,None,HHC,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
i21 - Reset handheld controller function item to default,Reset Func,This item shows the state of the <FUNCTION RESET> key on the HHC.,Boolean,0 No operation  1 Reset to default,Integer,None,HHC,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
i22 - Enable <AUTO> button set,Auto en,This item shows the state of the <AUTO> key on the FKP.,Boolean,0 Not pressed 1 Pressed,Integer,None,FKP,Movements [Ref: 6],Ref 14: 4513 395 2300 - sheet 1
i23 - Fault reset keyswitch set,Fault Rst,This item shows the state of the <FAULT RESET> keyswitch on the front panel of the TCC.,Boolean,0 Not operated 1 Operated - fault reset,Integer,None,Not available,Not available,Not available
i24 - <START> key monitor,Start,This item monitors the state of the <START> key on the FKP.,Boolean,0 Key not set 1 Start Key set,Integer,None,FKP,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7047 - sheet 1 
,,,,,,,,Movements [Ref: 6],4513 395 2300 - sheet 1
,,,,,,,,HT and RF [Ref: 7],4513 330 7054 - sheet 1
i25 - <INTERRUPT> key monitor,Interrupt,This item monitors the state of the <INTERRUPT> key on the FKP.,Boolean,0 Key not set 1 Interrupt Key set,Integer,None,FKP,Power Supplies and Interlocks [Ref: 14],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,HT and RF [Ref: 7], 4513 395 2300 - sheet 1
,,,,,,,,, 4513 330 7054 - sheet 1
i26 - <TERMINATE> key monitor,Terminate,This item monitors the state of the <TERMINATE> key on the FKP.,Boolean,0 Key not set 1 Terminate Key set,Integer,None,FKP,Power Supplies and Interlocks [Ref: 14],Ref 14: 4513 330 7021
,,,,,,,,,4513 330 7054
i27 - Segment error,Seg. err,"This item is used as fault reporting text to show that the processing of a beam was aborted due to an inconsistency in the prepared segment, for example:",Integer,0 to 50,Integer,None,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
,,1.Wrong energy/mode,,,,,,,
,,2.Invalid combination of geometric position requests.,,,,,,,
,,The confirmed value part shows the opcode of the faulty message.,,,,,,,
i28 - Reset request,Reset req,This item is used to indicate when the <FAULT RESET> switch on the front of the TCC should be operated to clear a fault condition.,Boolean,Not Available,Integer,None,Edit Machine Item Part,Not available,Not available
i29 - Warm up complete,Warmup st,"This item shows that the linear accelerator hardware is ready for operation.  Warm up status can be shown as an inhibit if a problem is detected while validating the energy calibration block settings, or if the calculated dose reference value required to compensate for pressure and temperature falls outside the permitted range, type and resolution.",Boolean,Not Available,Integer,None,Edit Machine Item Part,Not available,Not available
i30 - External terminate input,Ext.termin,This item shows the state of the external terminate input from the client interface in the interface cabinet.,Boolean,0 Not set 1 External terminate,Integer,None,FKP,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7070
,,,,,,,,,4513 330 7071
i31 - Radiation type,Radn. Type,This item selects the radiation type to be delivered by the linear accelerator.,Boolean,0 Electrons or not set 1 X-rays,Integer,None,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
i32 - Energy code,Energy,This item selects the required energy.,Integer,"0 to 19, see Table E",Integer,None,"Dose Calibration, Mechanisms",Not available,Not available
i33 - Beam dose channel 1 monitor,Beam MU 1,This item sets the total dose per beam for dose channel 1. The returned actual value is the number of MU given per beam.,Integer,0 MU to 32767 MU,1 MU,MU,"Dose Calibration, Dosimetry, Beam Monitor",Beam Physics [Ref: 8] Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1
i34 - Beam dose channel 2 monitor,Beam MU 2,This item sets the total dose per beam for dose channel 2. The actual value returned is the number of MU given per beam.,Integer,0 MU to 32767 MU,1 MU,MU,"Dose Calibration, Dosimetry, Beam Monitor",Beam Physics [Ref: 8] Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1
i35 - Segment dose channel 1 monitor,Seg MU 1,This item sets the segment dose per segment for dose channel 1. The actual value returned is the number of MU given per segment. The sum of the segment MU for all segments of a beam must be less than the total MU for that beam - otherwise an abnormal termination results. i683 allows this item to display the generated radiation and read on channel 1.,Real,0.0 MU to 1023.0 MU,0.1 MU,MU,"Dose Calibration, Dosimetry",Power Supplies and Interlocks [Ref: 5] Movements [Ref: 6],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i36 - Segment dose channel 2 monitor,Seg MU 2,"This item sets the segment dose backup per segment for dose channel 2. The actual value returned is the number of MU given per segment. The segment MU set for channel 2 must exceed the set value for channel 1 to avoid abnormal termination. If no value for channel 2 is entered, the system calculates the value from channel 1 set by adding 10 MU. i684 allows this item to display the generated radiation and read on channel 1. ",Real,0.0 MU to 1023.0 MU,0.1 MU,MU,"Dose Calibration, Dosimetry",Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i37 - Beam timer prescribed ,Beam T. set,"The value of this item is the beam backup time. If the timer expires, an abnormal termination occurs.",Real,Not available,0.1 min,min,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Not available
i38 - Default nominal dose rate,Def D/rate,This item specifies the default nominal dose rate to be applied if a zero or invalid entry is made for the prescribed nominal dose rate. Part 1 of this item sets the value. It can be set for each energy.,Integer,0 MU/min to 1200 MU/min ,1 MU/min,MU/min,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
i39 - Wedge in,Wedge in?,"The set value commands the wedge to move, while the indicated. actual value shows the state of the wedge. It is not valid to enter 0 for the set value.",Integer,"0 to 2, see Table F",Integer,None,Mechanisms,Beam Physics [Ref: 8],Ref 14: 4513 330 7039 - sheet 1
i40 - Applicator type,Appl. type,This item specifies and indicates the type of applicator fitted. It is used for electron treatments only.,Integer,"0 to 4 and NULL, see Table G",Integer,Coded text string,"FKP, Dose Calibration",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7036 - sheet 1
,,The keyboard-entered or prescription value is verified against the actual value as a condition for starting radiation.,,,,,,Accessories [Ref: 11],
i41 - Accessory fitment,Appl. No,This item specifies and indicates the attached end frame number/tube.,Integer,"0 to 15, see Table H",Integer,Coded text string,"FKP, Dose Calibration",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7036 - sheet 1
,,It is used for electron treatments only.,,,,,,Accessories [Ref: 11],
,,The keyboard-entered or prescription value is verified against the actual value as a condition for starting radiation.,,,,,,,
i42 - Accessory number (shadow tray),Acsy. No,This item specifies and indicates the shadow tray fitted. It is used for X-ray treatments only.,Integer,"0 to 127, see Table I",Integer,Coded text string,"FKP, Dose Calibration",Accessories [Ref: 11],Ref 14: 4513 330 7036 - sheet 1
,,The keyboard-entered or prescription value is verified against the actual value as a condition for starting radiation.,,,,,,,
i43 - Nominal dose rate,Nom. D/rate,This item specifies the nominal dose rate to be used for the current segment.,Integer,0 MU/min to 600 MU/min,1 MU/min,MU/min,"AFC, Beam Control, Dose Calibration, LV PSU, Steering, Gun Servo",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 1
,,"If a zero or non valid entry is made for this item, a default is applied according to the item def nom doserate.",,,,,,Dosimetry [Ref: 9],
,,,,,,,,HT and RF [Ref: 7],
,,,,,,,,Beam Physics [Ref: 8],
i44 - Monitored dose rate channel 1,D/rate 1,This item specifies the nominal dose rate to be used for the current segment by dose channel 1. It is exactly equivalent to writing to the nominal dose rate. The displayed value shows the actual dose rate being produced by the linear accelerator.,Integer,0 MU/min to 1200 MU/min,1 MU/min,MU/min,"AFC, Beam Control, Dose Calibration, LV PSU, Steering, Gun Servo, Plotter",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7047 - sheet 1
,,"If a zero or invalid entry is made for this item, a default is applied according to item def nom doserate.",,,,,,Beam Physics [Ref: 8],4513 330 7048 - sheet 1
,,,,,,,,Movements [Ref: 6],
,,,,,,,,HT and RF [Ref: 7],
,,,,,,,,Dosimetry [Ref: 9],
i45 - Monitored dose rate channel 2,D/rate 2,The displayed value of this item shows the actual dose rate being produced by the linear accelerator for dose channel 2.,Integer,0 MU/min to 1200 MU/min,1 MU/min,MU/min,"AFC, Beam Monitor, Dose Calibration, Dosimetry, Gun Servo, LV PSU",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
,,,,,,,,HT and RF [Ref: 7],
,,,,,,,,Beam Physics [Ref: 8],
i46 - Inhibit reason 1,Inhibit 1,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,"An increase in readiness is, for example, the progression from the Preparatory state to the Ready state, or the transition from System on to Closed.",,,,,,,
,,"The reasons are displayed in the order detected except that, if the parent of a violated interlock is also violated, the daughters are not shown. For example, it is not necessary to show that the bending current is out of limits if the LT circuit breaker has tripped.",,,,,,,
i47 - Inhibit reason 2,Inhibit 2,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i48 - Inhibit reason 3,Inhibit 3,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i49 - Inhibit reason 4,Inhibit 4,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i50 - Inhibit reason 5,Inhibit 5,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i51 - Inhibit reason 6,Inhibit 6,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i52 - Inhibit reason 7,Inhibit 7,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i53 - Inhibit reason 8,Inhibit 8,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i54 - Inhibit reason 9,Inhibit 9,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i55 - Inhibit reason 10,Inhibit 10,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i56 - Inhibit reason 11,Inhibit 11,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i57 - Inhibit reason 12,Inhibit 12,One of a group of 12 items (i46 to i57) which show any reason why an increase in the readiness state of the linear accelerator may not occur.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
i58 - Interrupt reason 1,Interrupt 1,One of a group of 4 items (i58 to i61) which show any reason why a decrease in the readiness state of the digital accelerator has occurred and has been defined as a cause of Interrupt. ,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i59 - Interrupt reason 2,Interrupt 2,One of a group of 4 items (i58 to i61) which show any reason why a decrease in the readiness state of the digital accelerator has occurred and has been defined as a cause of Interrupt.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i60 - Interrupt reason 3,Interrupt 3,One of a group of 4 items (i58 to i61) which show any reason why a decrease in the readiness state of the linear accelerator has occurred and has been defined as a cause of Interrupt. ,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i61 - Interrupt reason 4,Interrupt 4,One of a group of 4 items (i58 to i61) which show any reason why a decrease in the readiness state of the linear accelerator has occurred and has been defined as a cause of Interrupt. ,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i62 - Terminate reason 1,Terminate 1,One of a group of 4 items (i62 to i65) which show any reason why a decrease in the readiness state of the digital accelerator has occurred and has been defined as a cause of Terminate. ,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i63 - Terminate reason 2,Terminate 2,One of a group of 4 items (i62 to i65) which show any reason why a decrease in the readiness state of the linear accelerator has occurred and has been defined as a cause of Terminate. ,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i64 - Terminate reason 3,Terminate 3,One of a group of 4 items (i62 to i65) which show any reason why a decrease in the readiness state of the digital accelerator has occurred and has been defined as a cause of Terminate. ,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i65 - Terminate reason 4,Terminate 4,One of a group of 4 items (i62 to i65) which show any reason why a decrease in the readiness state of the linear accelerator has occurred and has been defined as a cause of Terminate.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i66 - Suspend reason 1,Suspend 1,"One of a group of 4 items (i66 to i69) which show any reason why a decrease in the readiness state of the linear accelerator has occurred, and has been defined as a cause of a Suspend (state suspended to Closed state or lower).",Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i67 - Suspend reason 2,Suspend 2,"One of a group of 4 items (i66 to i69) which show any reason why a decrease in the readiness state of the linear accelerator has occurred, and has been defined as a cause of a Suspend (state suspended to Closed state or lower).",Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed,,,,,,,
i68 - Suspend reason 3,Suspend 3,"One of a group of 4 items (i66 to i69) which show any reason why a decrease in the readiness state of the linear accelerator has occurred, and has been defined as a cause of a Suspend (state suspended to Closed state or lower).",Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed.,,,,,,,
i69 - Suspend reason 4,Suspend 4,"One of a group of 4 items (i66 to i69) which show any reason why a decrease in the readiness state of the linear accelerator has occurred, and has been defined as a cause of a Suspend (state Suspended to Closed state or lower).",Item number container,"0 to maximum item number, plus NULL",Integer,None,Reason Items,Power Supplies and Interlocks [Ref: 5],Not available
,,The reasons are displayed in the order detected.,,,,,,,
i70 - Gantry correlated position,Gantry,The prescribed or keyboard-entered value of this item may be applied using ASU to cause assisted setup of the gantry.,Real,-181.0 ° to +181.0 ° (IEC 0.0 ° to 360.0 °),0.1 °,Degrees (°),ASU,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
,,The displayed Actual value shows the actual gantry angle.,,,,,,,
i71 - Gantry rotation stop,Gantry stp,The prescribed or keyboard- entered value of this item is used during a movement segment to determine the required stop position of the gantry.,Real,-181.0 ° to +181.0 ° (IEC 0.0 ° to 360.0 °),0.1 °,Degrees (°),ASU,Movements [Ref: 6],Ref 144513 330 7047 - sheet 1
,,"The system uses this information, and that of the required START, position to evaluate the required movement per MU.",,,,,,,
i72 - Contactor CON-D monitor,HT con D,This item monitors the auxiliary contacts on HT soft-start contactor CON-D to determine whether the three-phase mains electrical supply is connected to the HT system.,Boolean,0 CON-D Off 1 CON-D On,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,,4513 330 7054 - sheet 1
i73 - Contactor CON-F monitor,LT con F,This item monitors auxiliary contacts on LT contactor CON-F and LT circuit-breaker CB3 to determine whether the three-phase mains electrical supply is connected to the LT system,Boolean,0 CON-F Off 1 Con-F On,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,,4513 330 7052 - sheet 1
i74 - HT circuit-breaker CB1 monitor,HT CB,This item indicates whether HT circuit-breaker CB1 has tripped,Boolean,0 CB1 Off 1 CB1 On,Integer,None,Modulator,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7054 - sheet 1
i75 - Diaphragm rotation start,D Rot,The prescribed or keyboard-entered value of this item may be applied using ASU to cause assisted setup of the beam limited device angle.  The displayed Actual value shows the actual head angle.,Real,-185.0 ° to +185.0 ° (IEC 0.0 ° to 360.0 °),0.1 °,Degrees (°),ASU,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i76 - Diaphragm rotation stop,D.Rot. stp,"The prescribed or keyboard-entered value of this item is used during a movement segment to determine the required stop position of the beam limiting device angle.  The system uses this information, and that of the required START position, to evaluate the required movement per MU.",Real,-185.0 ° to +185.0 ° (IEC 0.0 ° to 360.0 °),0.1 °,Degrees (°),Edit Machine Item Part,Movements [Ref: 6],Not available
i77 - Contactor CON-A monitor,Main Con A,This item indicates the state of main contactor CON-A.,Boolean,0 CON-A Off 1 CON-A On,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7051 - sheet 1
i78 - Contactor CON-J monitor,HT con J,"This item indicates the state of HT1 contactor CON-J. If the value of i78 is 1 (HT1 interlock made), then only i79 prevents HT on.",Boolean,0 CON-J Off 1  CON-J On,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
i79 - Contactor CON-K monitor,HT con K,"This item indicates the state of HT2 contactor CON-K. If the value of i79 is 1 (HT2 interlock made), then only i78 prevents HT on.",Boolean,0 CON-K Off 1 CON-K On,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,,4513 330 7054 - sheet 1
i80 - Diaphragm X1 start position,X1,The prescribed or keyboard-entered value of this item can be applied by using ASU to cause assisted setup of the X1 diaphragm.,Real,0.00 cm to +20.00 cm,0.01 cm,cm,ASU,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 1
,,The displayed Actual value shows the actual position of diaphragm X1.,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
,,,,,,,,Accessories [Ref: 11],
i81 - Diaphragm X1 position stop,X1 stp,The prescribed or keyboard-entered value of this item is used during a movement segment to determine the required STOP position of the X1 diaphragm.,Real,0.00 cm to +20.00 cm,0.01 cm,cm,Edit Machine Item Part,Movements [Ref: 6],Not available
,,"The system uses the information, and that of the required START position, to evaluate the required movement per MU.",,,,,,Beam Limiting Devices [Ref: 12],
,,,,,,,,Accessories [Ref: 11],
i82 - Contactor CON-C monitor,MM con C,This item indicates the state of secondary movements contactor CON-C.,Boolean,0 CON-C Off 1 CON-C On,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7053 - sheet 1
i83 - GTO O/load,GTO O/load,Gate turn-off. Indication that current is still flowing when PFN charge-enable pulse has occurred. HT is inhibited for 1.5 seconds when this fault occurs.,Boolean,0 GTO O/load 1 No GTO O/load,Integer,None,Not available,Not available,Not available
i84 - Reverse diode overload,Diode O/L,"This item displays a value of 0 during a reverse diode overload condition as detected by the HT PSU. The item is for indication only, because the PRF is inhibited for approximately 2 seconds by the HT PSU control circuits.",Boolean,0 Reverse diode overload,Integer,None,Modulator,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,1 No reverse diode overload,,,,HT and RF [Ref: 7],4513 330 7084 - sheet 1
i85 - Diaphragm X2 start position,X2,The prescribed or keyboard-entered value of this item is used during a movement segment to determine the required START position of the X2 diaphragm.,Real,0.00 cm to +20.00 cm,0.01 cm,cm,ASU,Movements [Ref: 6],Not available
,,"The system uses this information, and that of the required STOP position, to evaluate the required movement per MU.",,,,,,Beam Limiting Devices [Ref: 12],
,,,,,,,,Accessories [Ref: 11],
i86 - Diaphragm X2 stop position,X2 stp,The prescribed or keyboard-entered value of this item is used during a movement segment to determine the required STOP position of the X2 diaphragm.,Real,0.00 cm to +20.00 cm,0.01 cm,cm,Edit Machine Item Part,Movements [Ref: 6],Not available
,,"The system uses the information, and that of the required START position, to evaluate the required movement per MU.",,,,,,Beam Limiting Devices [Ref: 12],
,,,,,,,,Accessories [Ref: 11],
i87 - HT Bellows,HT Bellows,"This item indicates that the pulse transformer is overheating, as detected by a temperature sensor in the pulse transformer",Boolean,0 HT bellows over temperature,Integer,None,Not available,Not available,Not available
,,,,1 HT bellows temperature OK,,,,,
i88 - Charge enable,Charge en,This item monitors the status of a hardware interlock on the HT PSU control circuits to inhibit further charging pulses if the PFN is already charged,Boolean,0 Charge disabled 1 Charge enabled,Integer,None,Modulator,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,HT and RF [Ref: 7],4513 330 7084
i89 - HT crowbar,HT Crowbar,This item indicates that the crowbar protection on the HT PSU has operated. Protection occurs when the detected PFN charging voltage will exceed the PFN rating. A likely cause of this condition is the spurious firing of the transistor circuits by noise.,Boolean,0 HT crowbar fault 1  No HT crowbar fault,Integer,None,Modulator,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,HT and RF [Ref: 7],4513 330 7084
i90 - Diaphragm Y1 position start,Y1,The prescribed or keyboard-entered value of this item can be applied using ASU to cause assisted setup of the Y1 diaphragm.,Real,-12.50 cm to +20.00 cm,0.01 cm,cm,ASU,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,The displayed Actual value shows the actual Y1 diaphragm.,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
,,,,,,,,Accessories [Ref: 11],
i91 - Diaphragm Y1 position stop,Y1 stp,The prescribed or keyboard-entered value of this item is used during a movement segment to determine the required STOP position of the Y1 diaphragm.,Real,-12.50 cm to +20.00 cm,0.01 cm,cm,Edit Machine Item Part,Movements [Ref: 6],Not available
,,"The system uses the information, and that of the required START position, to evaluate the required movement per MU.",,,,,,Beam Limiting Devices [Ref: 12],
,,,,,,,,Accessories [Ref: 11],
i92 - Start req ,Start req,"This item monitors the state of the start circuit. If the start key is pressed before the start enable signal has ben asserted, then radiation start will be inhibited.",Boolean,Not Available,Integer,None,Not available,Not available,Not available
i93 - LV PSU over temperature,LV PSU OT,This item indicates that an over temperature fault has occurred in the LV PSU assembly.,Boolean,0 LV PSU temperature OK,Integer,None,Modulator,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7045 - sheet 1
,,"The item text appears as an INHIBIT to the start of radiation, or as an INTERRUPT if the fault occurs during radiation.",,1 LV PSU over temperature,,,,,
